,STATE.UT,DISTRICT,Year,Rape,Kidnapping.and.Abduction,Dowry.Deaths,Assault.on.women.with.intent.to.outrage.her.modesty,Insult.to.modesty.of.Women,Cruelty.by.Husband.or.his.Relatives,Importation.of.Girls,Total.Crimes.against.Women
7938,ASSAM,NALBARI,2011,28,83,4,95,0,140,0,350
7939,ASSAM,R.P.O.,2011,5,3,0,1,0,10,0,19
7940,ASSAM,SIBSAGAR,2011,49,118,8,78,0,99,0,352
7941,ASSAM,SONITPUR,2011,96,231,12,34,0,346,0,719
7942,ASSAM,TINSUKIA,2011,61,135,1,27,0,121,0,345
7943,ASSAM,UDALGURI,2011,28,63,1,10,0,45,0,147
7944,BIHAR,ARARIA,2011,69,91,26,14,0,24,0,224
7945,BIHAR,ARWAL,2011,5,9,24,8,0,8,0,54
7946,BIHAR,AURANGABAD,2011,18,60,30,32,0,152,0,292
7947,BIHAR,BAGAHA,2011,16,48,13,8,0,15,0,100
7948,BIHAR,BANKA,2011,26,56,31,8,0,26,0,147
7949,BIHAR,BEGUSARAI,2011,17,94,39,12,0,39,0,201
7950,BIHAR,BETTIAH,2011,21,81,32,7,0,67,0,208
7951,BIHAR,BHABHUA,2011,9,36,33,32,0,17,0,127
7952,BIHAR,BHAGALPUR,2011,23,94,12,10,0,17,0,156
7953,BIHAR,BHOJPUR,2011,16,48,40,2,0,72,0,178
7954,BIHAR,BUXAR,2011,13,52,37,6,0,59,0,167
7955,BIHAR,DARBHANGA,2011,34,97,38,202,0,284,0,655
7956,BIHAR,GAYA,2011,23,63,56,7,0,47,0,196
7957,BIHAR,GOPALGANJ,2011,17,106,35,30,0,56,0,244
7958,BIHAR,JAMALPUR RLY.,2011,0,0,0,2,0,1,0,3
7959,BIHAR,JAMUI,2011,23,28,13,34,0,40,0,138
7960,BIHAR,JEHANABAD,2011,10,14,20,8,0,22,0,74
7961,BIHAR,KATIHAR,2011,103,102,29,10,0,25,1,270
7962,BIHAR,KATIHAR RLY.,2011,2,0,0,4,0,2,0,8
7963,BIHAR,KHAGARIA,2011,14,42,15,0,0,26,0,97
7964,BIHAR,KISHANGANJ,2011,30,60,13,20,0,50,0,173
7965,BIHAR,LAKHISARAI,2011,5,31,14,12,0,44,0,106
7966,BIHAR,MADHEPURA,2011,8,67,11,0,0,21,0,107
7967,BIHAR,MADHUBANI,2011,44,148,35,0,0,138,0,365
7968,BIHAR,MOTIHARI,2011,37,179,69,8,0,57,0,350
7969,BIHAR,MUNGER,2011,7,56,10,2,0,49,0,124
7970,BIHAR,MUZAFFARPUR,2011,56,219,76,4,0,91,2,448
7971,BIHAR,MUZAFFARPUR RLY.,2011,0,4,1,11,0,0,0,16
7972,BIHAR,NALANDA,2011,15,72,55,29,0,96,0,267
7973,BIHAR,NAUGACHIA,2011,7,20,8,6,0,44,0,85
7974,BIHAR,NAWADAH,2011,12,33,21,35,0,57,0,158
7975,BIHAR,PATNA,2011,41,167,112,1,2,317,0,640
7976,BIHAR,PATNA RLY.,2011,1,0,2,11,0,0,0,14
7977,BIHAR,PURNEA,2011,62,78,13,24,3,140,0,320
7978,BIHAR,ROHTAS,2011,20,84,32,46,0,57,0,239
7979,BIHAR,SAHARSA,2011,8,41,17,35,0,27,1,129
7980,BIHAR,SAMASTIPUR,2011,40,105,46,9,2,66,0,268
7981,BIHAR,SARAN,2011,10,137,74,46,0,131,1,399
7982,BIHAR,SHEIKHPURA,2011,3,14,8,0,0,35,0,60
7983,BIHAR,SHEOHAR,2011,4,20,5,3,1,15,0,48
7984,BIHAR,SITAMARHI,2011,8,49,29,14,0,33,0,133
7985,BIHAR,SIWAN,2011,16,150,139,4,3,53,5,370
7986,BIHAR,SUPAUL,2011,23,48,24,8,0,28,0,131
7987,BIHAR,VAISHALI,2011,18,147,76,26,0,59,0,326
8596,CHANDIGARH,CHANDIGARH,2011,27,46,2,21,12,46,0,154
7988,CHHATTISGARH,BALRAMPUR,2011,55,0,3,52,0,23,0,133
7989,CHHATTISGARH,BILASPUR,2011,70,16,17,146,4,72,0,325
7990,CHHATTISGARH,BIZAPUR,2011,4,2,0,5,0,3,0,14
7991,CHHATTISGARH,DANTEWARA,2011,8,7,0,10,1,9,0,35
7992,CHHATTISGARH,DHAMTARI,2011,27,18,4,44,3,16,0,112
7993,CHHATTISGARH,DURG,2011,115,86,13,291,43,131,1,680
7994,CHHATTISGARH,GARIYABAND,2011,21,1,5,30,1,8,0,66
7995,CHHATTISGARH,GRP RAIPUR,2011,2,0,1,1,0,1,0,5
7996,CHHATTISGARH,JAGDALPUR,2011,68,9,0,29,3,19,0,128
7997,CHHATTISGARH,JANJGIR,2011,33,10,15,114,15,104,0,291
7998,CHHATTISGARH,JASHPUR,2011,78,33,1,69,2,36,0,219
7999,CHHATTISGARH,KABIRDHAM,2011,23,16,2,43,7,14,0,105
8000,CHHATTISGARH,KANKER,2011,29,4,4,14,2,10,0,63
8001,CHHATTISGARH,KORBA,2011,39,2,5,86,12,48,0,192
8002,CHHATTISGARH,KORIYA,2011,72,11,3,95,1,55,1,238
8003,CHHATTISGARH,MAHASAMUND,2011,30,35,2,65,11,31,0,174
8004,CHHATTISGARH,NARAYANPUR,2011,5,0,0,2,1,0,0,8
8005,CHHATTISGARH,RAIGARH,2011,62,10,11,84,6,32,0,205
8006,CHHATTISGARH,RAIPUR,2011,133,35,11,232,53,100,0,564
8007,CHHATTISGARH,RAJNANDGAON,2011,38,21,4,70,3,23,0,159
8008,CHHATTISGARH,SARGUJA,2011,65,32,0,114,3,36,0,250
8009,CHHATTISGARH,SURAJPUR,2011,76,17,3,58,3,63,0,220
8597,D & N HAVELI,D AND N HAVELI,2011,4,8,0,2,0,3,0,17
8598,DAMAN & DIU,DAMAN,2011,1,1,0,0,0,2,0,4
8599,DAMAN & DIU,DIU,2011,0,1,0,0,0,0,0,1
8600,DELHI,CAW,2011,1,0,0,1,0,128,0,130
8601,DELHI,CENTRAL,2011,16,89,3,32,4,29,0,173
8602,DELHI,CRIME BRANCH,2011,1,0,0,0,0,0,0,1
8603,DELHI,DELHI UT TOTAL,2011,572,2085,142,657,162,1575,0,5193
8604,DELHI,EAST,2011,55,226,14,78,17,160,0,550
8605,DELHI,EOW,2011,0,0,0,0,0,0,0,0
8606,DELHI,GRP(RLY),2011,4,10,1,7,1,0,0,23
8607,DELHI,IGI AIRPORT,2011,0,0,0,8,2,0,0,10
8608,DELHI,NEW DELHI,2011,2,17,1,17,12,5,0,54
8609,DELHI,NORTH,2011,11,84,4,15,10,88,0,212
8610,DELHI,NORTH-EAST,2011,69,285,21,88,21,254,0,738
8611,DELHI,NORTH-WEST,2011,58,177,10,48,13,117,0,423
8612,DELHI,OUTER,2011,73,328,34,65,3,196,0,699
8613,DELHI,SOUTH,2011,65,143,11,50,29,59,0,357
8614,DELHI,SOUTH-EAST,2011,75,234,19,127,32,108,0,595
8615,DELHI,SOUTH-WEST,2011,69,238,11,56,10,144,0,528
8616,DELHI,STF,2011,0,0,0,0,0,0,0,0
8617,DELHI,WEST,2011,73,254,13,65,8,287,0,700
8010,GOA,NORTH GOA,2011,13,8,1,20,9,10,0,61
8011,GOA,SOUTH GOA,2011,16,9,0,9,3,8,0,45
8012,GUJARAT,AHMEDABAD COMMR.,2011,60,184,19,83,16,1390,0,1752
8013,GUJARAT,AHMEDABAD RURAL,2011,10,71,1,22,0,131,0,235
8014,GUJARAT,AHWA-DANG,2011,1,0,1,1,0,8,0,11
8015,GUJARAT,AMRELI,2011,10,77,0,28,1,143,0,259
8016,GUJARAT,ANAND,2011,10,42,0,20,0,196,0,268
8017,GUJARAT,BHARUCH,2011,13,27,0,9,0,4,0,53
8018,GUJARAT,BHAVNAGAR,2011,8,88,0,35,33,181,0,345
8019,GUJARAT,CID CRIME,2011,0,0,0,0,0,0,0,0
8020,GUJARAT,DAHOD,2011,6,48,0,11,0,14,0,79
8021,GUJARAT,GANDHINAGAR,2011,14,16,0,16,1,132,0,179
8022,GUJARAT,HIMATNAGAR,2011,10,46,0,29,4,229,0,318
8023,GUJARAT,JAMNAGAR,2011,21,51,0,34,8,356,0,470
8024,GUJARAT,JUNAGADH,2011,11,68,1,26,4,423,0,533
8025,GUJARAT,KHEDA NORTH,2011,12,48,0,14,0,132,0,206
8026,GUJARAT,KUTCH (EAST(G)),2011,8,17,2,13,1,137,0,178
8027,GUJARAT,KUTCH (WEST-BHUJ),2011,15,15,0,14,0,108,0,152
8028,GUJARAT,MEHSANA,2011,9,63,2,20,2,242,0,338
8029,GUJARAT,NARMADA,2011,7,4,0,3,0,5,0,19
8030,GUJARAT,NAVSARI,2011,2,10,0,6,2,31,0,51
8031,GUJARAT,PALANPUR,2011,38,87,1,64,1,349,0,540
8032,GUJARAT,PANCHMAHAL,2011,10,57,0,33,0,249,0,349
8033,GUJARAT,PATAN,2011,16,44,0,43,1,156,0,260
8034,GUJARAT,PORBANDAR,2011,6,9,0,1,1,84,0,101
8035,GUJARAT,RAJKOT COMMR.,2011,10,34,0,17,3,246,0,310
8036,GUJARAT,RAJKOT RURAL,2011,23,69,2,21,6,279,0,400
8037,GUJARAT,SURAT COMMR.,2011,36,83,0,34,3,276,0,432
8038,GUJARAT,SURAT RURAL,2011,6,14,0,9,0,55,0,84
8039,GUJARAT,SURENDRANAGAR,2011,19,41,0,28,4,129,0,221
8040,GUJARAT,TAPI,2011,2,2,0,3,0,9,0,16
8041,GUJARAT,VADODARA COMMR.,2011,9,44,1,15,2,240,0,311
8042,GUJARAT,VADODARA RURAL,2011,28,62,0,19,0,95,0,204
8043,GUJARAT,VALSAD,2011,9,19,0,6,0,23,0,57
8044,GUJARAT,W.RLY AHMEDABAD,2011,0,1,0,6,0,0,0,7
8045,GUJARAT,W.RLY VADODARA,2011,0,1,0,2,0,0,0,3
8046,HARYANA,AMBALA,2011,37,23,5,28,20,191,0,304
8047,HARYANA,BHIWANI,2011,41,30,18,26,12,97,0,224
8048,HARYANA,FARIDABAD,2011,54,82,10,31,59,218,0,454
8049,HARYANA,FATEHABAD,2011,15,18,7,6,8,86,0,140
8050,HARYANA,GRP,2011,0,2,4,2,130,0,0,138
8051,HARYANA,GURGAON,2011,40,37,25,27,29,107,0,265
8052,HARYANA,HISSAR,2011,36,62,14,37,18,248,0,415
8053,HARYANA,JHAJJAR,2011,32,19,12,20,26,117,0,226
8054,HARYANA,JIND,2011,37,28,15,15,13,91,0,199
8055,HARYANA,KAITHAL,2011,20,17,8,18,0,119,0,182
8056,HARYANA,KARNAL,2011,62,18,18,25,26,166,0,315
8057,HARYANA,KURUKSHETRA,2011,29,30,7,22,20,68,0,176
8058,HARYANA,MAHENDRAGARH,2011,26,38,11,22,0,85,0,182
8059,HARYANA,MEWAT,2011,28,23,7,9,3,119,0,189
8060,HARYANA,PALWAL,2011,54,43,13,32,0,75,0,217
8061,HARYANA,PANCHKULA,2011,17,15,2,9,0,77,0,120
8062,HARYANA,PANIPAT,2011,47,70,11,29,19,163,0,339
8063,HARYANA,REWARI,2011,17,19,7,19,34,94,0,190
8064,HARYANA,ROHTAK,2011,57,32,9,38,52,124,0,312
8065,HARYANA,SIRSA,2011,21,49,16,26,0,170,0,282
8066,HARYANA,SONIPAT,2011,27,42,23,19,15,156,0,282
8067,HARYANA,YAMUNANAGAR,2011,36,36,13,14,6,169,0,274
8068,HIMACHAL PRADESH,BADDIPOLICEDIST,2011,8,15,0,7,0,9,0,39
8069,HIMACHAL PRADESH,BILASPUR,2011,8,3,0,18,9,17,0,55
8070,HIMACHAL PRADESH,CHAMBA,2011,6,18,2,29,3,10,0,68
8071,HIMACHAL PRADESH,CID,2011,0,0,0,0,0,0,0,0
8072,HIMACHAL PRADESH,G.R.P.,2011,0,0,0,0,0,0,0,0
8073,HIMACHAL PRADESH,HAMIRPUR,2011,5,7,0,17,12,5,0,46
8074,HIMACHAL PRADESH,KANGRA,2011,32,55,1,60,12,42,0,202
8075,HIMACHAL PRADESH,KINNAUR,2011,6,1,1,4,0,1,0,13
8076,HIMACHAL PRADESH,KULLU,2011,20,12,0,38,2,21,0,93
8077,HIMACHAL PRADESH,LAHAUL-SPITI,2011,1,0,0,0,0,0,0,1
8078,HIMACHAL PRADESH,MANDI,2011,26,16,0,55,12,40,0,149
8079,HIMACHAL PRADESH,SHIMLA,2011,22,24,0,45,5,16,0,112
8080,HIMACHAL PRADESH,SIRMAUR,2011,12,17,0,33,1,23,0,86
8081,HIMACHAL PRADESH,SOLAN,2011,11,13,0,8,0,16,0,48
8082,HIMACHAL PRADESH,UNA,2011,11,10,0,17,6,39,0,83
8083,JAMMU & KASHMIR,ANANTNAG,2011,18,108,0,134,46,6,0,312
8084,JAMMU & KASHMIR,AWANTIPORA,2011,4,26,0,13,5,3,0,51
8085,JAMMU & KASHMIR,BANDIPORA,2011,1,57,0,61,5,3,0,127
8086,JAMMU & KASHMIR,BARAMULLA,2011,12,73,0,94,23,1,0,203
8087,JAMMU & KASHMIR,BUDGAM,2011,8,100,0,94,27,2,0,231
8088,JAMMU & KASHMIR,CRIME JAMMU,2011,0,0,0,0,0,0,0,0
8089,JAMMU & KASHMIR,CRIME SRINAGAR,2011,0,0,0,0,0,0,0,0
8090,JAMMU & KASHMIR,DODA,2011,16,43,0,25,7,20,0,111
8091,JAMMU & KASHMIR,GANDERBAL,2011,9,30,0,57,1,1,0,98
8092,JAMMU & KASHMIR,HANDWARA,2011,6,33,0,76,14,1,0,130
8093,JAMMU & KASHMIR,JAMMU,2011,35,61,3,38,45,51,0,233
8094,JAMMU & KASHMIR,KARGIL,2011,1,1,0,2,0,2,0,6
8095,JAMMU & KASHMIR,KATHUA,2011,17,32,5,32,8,19,0,113
8096,JAMMU & KASHMIR,KISHTWAR,2011,4,25,0,12,1,16,0,58
8097,JAMMU & KASHMIR,KULGAM,2011,10,44,0,68,12,1,0,135
8098,JAMMU & KASHMIR,KUPWARA,2011,11,45,0,45,11,4,0,116
8099,JAMMU & KASHMIR,LEH,2011,3,0,0,7,1,0,0,11
8100,JAMMU & KASHMIR,POONCH,2011,18,32,0,31,7,29,0,117
8101,JAMMU & KASHMIR,PULWAMA,2011,5,34,0,11,7,0,0,57
8102,JAMMU & KASHMIR,RAILWAYS JAMMU,2011,0,0,0,0,0,0,0,0
8103,JAMMU & KASHMIR,RAILWAYS KASHMIR,2011,0,0,0,0,1,0,0,1
8104,JAMMU & KASHMIR,RAJOURI,2011,32,43,1,30,4,49,0,159
8105,JAMMU & KASHMIR,RAMBAN,2011,13,15,0,12,4,0,0,44
8106,JAMMU & KASHMIR,REASI,2011,11,15,0,11,5,1,0,43
8107,JAMMU & KASHMIR,SAMBA,2011,3,11,2,6,17,5,0,44
8108,JAMMU & KASHMIR,SHOPIAN,2011,8,29,0,77,8,0,0,122
8109,JAMMU & KASHMIR,SOPORE,2011,4,38,0,58,9,5,0,114
8110,JAMMU & KASHMIR,SRINAGAR,2011,14,110,0,171,70,54,0,419
8111,JAMMU & KASHMIR,UDHAMPUR,2011,14,18,0,29,12,13,0,86
8112,JHARKHAND,BOKARO,2011,46,57,13,4,0,102,0,222
8113,JHARKHAND,CHAIBASA,2011,32,14,6,5,0,11,0,68
8114,JHARKHAND,CHATRA,2011,12,17,15,1,0,9,0,54
8115,JHARKHAND,DEOGHAR,2011,34,10,18,16,1,24,0,103
8116,JHARKHAND,DHANBAD,2011,32,83,39,34,0,39,0,227
8117,JHARKHAND,DHANBAD RLY.,2011,0,1,3,8,0,1,0,13
8118,JHARKHAND,DUMKA,2011,34,18,7,19,0,40,0,118
8119,JHARKHAND,GARHWA,2011,51,26,19,22,0,89,1,208
8120,JHARKHAND,GIRIDIH,2011,47,41,30,40,2,35,5,200
8121,JHARKHAND,GODDA,2011,29,8,0,21,0,10,0,68
8122,JHARKHAND,GUMLA,2011,46,27,1,10,0,17,0,101
8123,JHARKHAND,HAZARIBAGH,2011,22,52,26,25,0,22,0,147
8124,JHARKHAND,JAMSHEDPUR,2011,39,54,17,32,0,76,0,218
8125,JHARKHAND,JAMSHEDPUR RLY.,2011,1,8,0,5,0,0,0,14
8126,JHARKHAND,JAMTARA,2011,15,11,10,10,0,19,0,65
8127,JHARKHAND,KHUNTI,2011,13,3,0,4,0,1,0,21
8128,JHARKHAND,KODERMA,2011,7,19,16,7,0,34,0,83
8129,JHARKHAND,LATEHAR,2011,27,12,2,4,0,11,0,56
8130,JHARKHAND,LOHARDAGGA,2011,30,12,3,2,0,13,0,60
8131,JHARKHAND,PAKUR,2011,39,8,0,6,0,22,0,75
8132,JHARKHAND,PALAMU,2011,28,34,28,6,0,12,0,108
8133,JHARKHAND,RAMGARH,2011,24,23,7,8,0,3,0,65
8134,JHARKHAND,RANCHI,2011,50,54,8,9,2,14,0,137
8135,JHARKHAND,SAHEBGANJ,2011,71,37,5,4,0,32,0,149
8136,JHARKHAND,SARAIKELA,2011,30,16,8,9,2,13,0,78
8137,JHARKHAND,SIMDEGA,2011,25,15,1,6,0,10,0,57
8138,KARNATAKA,BAGALKOT,2011,15,9,0,38,0,58,0,120
8139,KARNATAKA,BANGALORE COMMR.,2011,97,206,53,250,40,458,0,1104
8140,KARNATAKA,BANGALORE RURAL,2011,29,1,10,74,2,83,0,199
8141,KARNATAKA,BELGAUM,2011,45,32,11,221,4,297,0,610
8142,KARNATAKA,BELLARY,2011,6,15,15,65,1,103,1,206
8143,KARNATAKA,BIDAR,2011,14,11,7,27,2,77,0,138
8144,KARNATAKA,BIJAPUR,2011,7,21,8,66,0,116,1,219
8145,KARNATAKA,CBPURA,2011,16,16,7,55,0,92,0,186
8146,KARNATAKA,CHAMARAJNAGAR,2011,11,6,9,71,0,62,0,159
8147,KARNATAKA,CHICKMAGALUR,2011,10,11,1,53,4,68,1,148
8148,KARNATAKA,CHITRADURGA,2011,27,24,5,93,0,96,0,245
8149,KARNATAKA,DAKSHIN KANNADA,2011,6,3,1,46,0,38,0,94
8150,KARNATAKA,DAVANAGERE,2011,11,15,6,65,0,93,0,190
8151,KARNATAKA,DHARWAD COMMR.,2011,7,18,3,22,2,56,0,108
8152,KARNATAKA,DHARWAD RURAL,2011,0,5,2,21,0,22,0,50
8153,KARNATAKA,GADAG,2011,5,5,0,48,0,32,0,90
8154,KARNATAKA,GULBARGA,2011,36,73,2,111,0,153,0,375
8155,KARNATAKA,HASSAN,2011,27,25,32,106,0,264,0,454
8156,KARNATAKA,HAVERI,2011,13,0,0,76,0,74,0,163
8157,KARNATAKA,K.G.F.,2011,4,11,1,14,0,28,0,58
8158,KARNATAKA,KODAGU,2011,16,5,5,25,1,57,0,109
8159,KARNATAKA,KOLAR,2011,17,13,3,21,0,23,0,77
8160,KARNATAKA,KOPPAL,2011,13,0,0,23,0,70,0,106
8161,KARNATAKA,MANDYA,2011,31,31,12,98,0,230,0,402
8162,KARNATAKA,MANGALORE CITY,2011,16,4,0,27,2,43,0,92
8163,KARNATAKA,MYSORE COMMR.,2011,11,17,5,23,0,32,9,97
8164,KARNATAKA,MYSORE RURAL,2011,19,39,7,174,0,158,0,397
8165,KARNATAKA,RAICHUR,2011,29,14,10,149,0,174,0,376
8166,KARNATAKA,RAILWAYS,2011,0,1,0,0,0,0,0,1
8167,KARNATAKA,RAMANAGAR,2011,19,45,23,101,0,71,0,259
8168,KARNATAKA,SHIMOGA,2011,23,18,6,123,10,278,0,458
8169,KARNATAKA,TUMKUR,2011,31,14,17,135,0,124,0,321
8170,KARNATAKA,UDUPI,2011,5,3,1,45,1,42,0,97
8171,KARNATAKA,UTTAR KANNADA,2011,11,4,3,73,12,75,0,178
8172,KARNATAKA,YADGIRI,2011,9,0,2,69,0,65,0,145
8173,KERALA,ALAPUZHA,2011,56,10,1,245,76,310,0,698
8174,KERALA,ERNAKULAM COMMR.,2011,62,4,1,149,44,225,0,485
8175,KERALA,ERNAKULAM RURAL,2011,30,11,0,105,32,136,0,314
8176,KERALA,IDUKKI,2011,54,8,0,169,18,237,0,486
8177,KERALA,KANNUR,2011,55,11,0,161,23,373,0,623
8178,KERALA,KASARGOD,2011,125,8,0,136,10,196,0,475
8179,KERALA,KOLLAM COMMR.,2011,51,20,1,192,19,319,0,602
8180,KERALA,KOLLAM RURAL,2011,46,10,0,255,8,298,0,617
8181,KERALA,KOTTAYAM,2011,51,21,2,258,31,285,0,648
8182,KERALA,KOZHIKODE COMMR.,2011,14,10,0,124,100,171,0,419
8183,KERALA,KOZHIKODE RURAL,2011,46,16,1,179,13,322,0,577
8184,KERALA,MALAPPURAM,2011,83,12,0,232,27,661,0,1015
8185,KERALA,PALAKKAD,2011,85,9,2,156,18,404,0,674
8186,KERALA,PATHANAMTHITTA,2011,33,15,0,157,14,158,0,377
8187,KERALA,RAILWAYS,2011,0,0,0,25,9,0,0,34
8188,KERALA,THRISSUR COMMR.,2011,28,10,0,100,28,131,0,297
8189,KERALA,THRISSUR RURAL,2011,69,12,1,263,28,449,0,822
8190,KERALA,TRIVANDRUM COMMR.,2011,39,13,0,241,46,156,0,495
8191,KERALA,TRIVANDRUM RURAL,2011,140,15,4,547,24,422,0,1152
8192,KERALA,WAYANADU,2011,65,6,2,62,5,124,0,264
8618,LAKSHADWEEP,LAKSHADWEEP,2011,0,0,0,0,0,0,0,0
8193,MADHYA PRADESH,ALIRAJPUR,2011,24,18,0,23,0,8,0,73
8194,MADHYA PRADESH,ANUPPUR,2011,60,7,10,57,4,42,0,180
8195,MADHYA PRADESH,ASHOK NAGAR,2011,36,5,8,105,8,33,0,195
8196,MADHYA PRADESH,BALAGHAT,2011,55,7,3,104,7,37,0,213
8197,MADHYA PRADESH,BARWANI,2011,39,7,2,58,5,11,0,122
8198,MADHYA PRADESH,BETUL,2011,120,18,20,188,6,53,0,405
8199,MADHYA PRADESH,BHIND,2011,51,18,28,71,11,45,0,224
8200,MADHYA PRADESH,BHOPAL,2011,146,32,19,144,16,198,2,557
8201,MADHYA PRADESH,BHOPAL RLY.,2011,0,0,0,8,2,0,0,10
8202,MADHYA PRADESH,BURHANPUR,2011,29,2,5,41,5,13,0,95
8203,MADHYA PRADESH,CHHATARPUR,2011,77,42,33,185,8,75,0,420
8204,MADHYA PRADESH,CHHINDWARA,2011,111,22,14,189,41,89,0,466
8205,MADHYA PRADESH,DAMOH,2011,52,14,27,193,0,139,0,425
8206,MADHYA PRADESH,DATIYA,2011,25,19,10,65,0,37,0,156
8207,MADHYA PRADESH,DEWAS,2011,102,21,19,162,30,110,0,444
8208,MADHYA PRADESH,DHAR,2011,103,41,62,189,13,74,0,482
8209,MADHYA PRADESH,DINDORI,2011,46,4,1,67,5,21,0,144
8210,MADHYA PRADESH,GUNA,2011,75,24,9,122,14,30,1,275
8211,MADHYA PRADESH,GWALIOR,2011,75,81,34,170,14,168,0,542
8212,MADHYA PRADESH,HARDA,2011,53,15,5,59,9,14,0,155
8213,MADHYA PRADESH,HOSHANGABAD,2011,59,26,16,149,17,120,0,387
8214,MADHYA PRADESH,INDORE,2011,129,52,41,339,59,398,3,1021
8215,MADHYA PRADESH,INDORE RLY.,2011,2,1,1,4,0,0,0,8
8216,MADHYA PRADESH,JABALPUR,2011,107,27,39,269,40,212,2,696
8217,MADHYA PRADESH,JABALPUR RLY.,2011,3,2,1,3,0,0,0,9
8218,MADHYA PRADESH,JHABUA,2011,42,17,4,62,0,10,0,135
8219,MADHYA PRADESH,KATNI,2011,62,7,16,140,12,51,0,288
8220,MADHYA PRADESH,KHANDWA,2011,59,10,5,141,19,24,0,258
8221,MADHYA PRADESH,KHARGON,2011,39,13,38,118,14,38,0,260
8222,MADHYA PRADESH,MANDLA,2011,63,9,4,101,12,27,0,216
8223,MADHYA PRADESH,MANDSAUR,2011,49,18,4,100,6,58,10,245
8224,MADHYA PRADESH,MORENA,2011,40,23,32,85,4,85,0,269
8225,MADHYA PRADESH,NARSINGHPUR,2011,65,15,20,108,25,69,0,302
8226,MADHYA PRADESH,NEEMUCH,2011,25,9,4,49,4,51,9,151
8227,MADHYA PRADESH,PANNA,2011,48,5,14,87,5,48,0,207
8228,MADHYA PRADESH,RAISEN,2011,118,22,15,179,16,67,0,417
8229,MADHYA PRADESH,RAJGARH,2011,90,21,6,175,39,51,0,382
8230,MADHYA PRADESH,RATLAM,2011,97,39,9,131,18,135,0,429
8231,MADHYA PRADESH,REWA,2011,91,25,32,122,107,112,8,497
8232,MADHYA PRADESH,SAGAR,2011,131,104,37,416,29,156,0,873
8233,MADHYA PRADESH,SATNA,2011,83,13,20,177,7,109,0,409
8234,MADHYA PRADESH,SEONI,2011,61,11,9,111,13,27,0,232
8235,MADHYA PRADESH,SHAHDOL,2011,80,17,21,143,9,108,0,378
8236,MADHYA PRADESH,SHAJAPUR,2011,50,10,8,135,17,7,0,227
8237,MADHYA PRADESH,SHEOPUR,2011,18,7,2,28,2,9,0,66
8238,MADHYA PRADESH,SHIVPURI,2011,93,18,13,168,5,65,0,362
8239,MADHYA PRADESH,SIDHI,2011,32,31,16,93,1,45,0,218
8240,MADHYA PRADESH,SIHORE,2011,82,26,11,119,14,76,0,328
8241,MADHYA PRADESH,SINGRAULI,2011,43,24,13,89,1,59,0,229
8242,MADHYA PRADESH,TIKAMGARH,2011,76,23,18,153,4,36,10,320
8243,MADHYA PRADESH,UJJAIN,2011,81,35,14,196,36,176,0,538
8244,MADHYA PRADESH,UMARIYA,2011,22,4,3,78,10,27,0,144
8245,MADHYA PRADESH,VIDISHA,2011,87,27,16,197,19,79,0,425
8246,MAHARASHTRA,AHMEDNAGAR,2011,78,59,32,160,5,677,0,1011
8247,MAHARASHTRA,AKOLA,2011,30,37,13,93,24,140,0,337
8248,MAHARASHTRA,AMRAVATI COMMR.,2011,22,19,2,49,13,94,0,199
8249,MAHARASHTRA,AMRAVATI RURAL,2011,69,27,3,142,43,104,0,388
8250,MAHARASHTRA,AURANGABAD COMMR.,2011,16,24,7,65,29,122,0,263
8251,MAHARASHTRA,AURANGABAD RURAL,2011,18,12,36,78,12,212,0,368
8252,MAHARASHTRA,BEED,2011,32,37,11,99,14,378,0,571
8253,MAHARASHTRA,BHANDARA,2011,23,9,1,30,14,50,0,127
8254,MAHARASHTRA,BULDHANA,2011,26,27,14,124,24,194,0,409
8255,MAHARASHTRA,CHANDRAPUR,2011,56,25,4,108,77,109,0,379
8256,MAHARASHTRA,DHULE,2011,16,27,4,52,7,203,0,309
8257,MAHARASHTRA,GADCHIROLI,2011,20,3,0,24,3,23,0,73
8258,MAHARASHTRA,GONDIA,2011,31,23,1,67,19,36,0,177
8259,MAHARASHTRA,HINGOLI,2011,18,8,0,42,5,82,0,155
8260,MAHARASHTRA,JALGAON,2011,48,25,8,146,51,364,0,642
8261,MAHARASHTRA,JALNA,2011,15,17,23,73,10,289,0,427
8262,MAHARASHTRA,KOLHAPUR,2011,42,35,19,59,18,121,0,294
8263,MAHARASHTRA,LATUR,2011,17,37,4,57,0,156,0,271
8264,MAHARASHTRA,MUMBAI COMMR.,2011,221,166,14,553,162,393,0,1509
8265,MAHARASHTRA,MUMBAI RLY.,2011,3,6,0,8,3,0,0,20
8266,MAHARASHTRA,NAGPUR COMMR.,2011,45,24,4,68,53,174,0,368
8267,MAHARASHTRA,NAGPUR RLY.,2011,1,0,0,9,1,1,0,12
8268,MAHARASHTRA,NAGPUR RURAL,2011,44,24,11,65,15,62,0,221
8269,MAHARASHTRA,NANDED,2011,32,43,29,93,3,325,0,525
8270,MAHARASHTRA,NANDURBAR,2011,20,15,0,40,7,87,0,169
8271,MAHARASHTRA,NASIK COMMR.,2011,25,11,5,37,10,115,0,203
8272,MAHARASHTRA,NASIK RURAL,2011,43,28,5,91,33,298,0,498
8273,MAHARASHTRA,NAVI MUMBAI,2011,38,17,1,57,33,110,0,256
8274,MAHARASHTRA,OSMANABAD,2011,30,18,2,88,11,186,0,335
